FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 42.9242 10.0756 21.3912 14.6836 19.3201 20.0116 33.9294 16.3197 80.4004 38.7518 21.0279 23.4096 18.8386 40.6509 42.7459 8.00703 20.0221 27.4366 73.8225 64.1799  -77.75 2.16165 18.9633 18.6368 17.3475 16.6994 18.0645 12.6862
 44.2087 10.6546 20.6949 15.5386 19.7242 22.2613 36.0608 20.3552  81.172 41.7737 22.9043 25.4956 18.8155 41.8941 44.8569 12.9456 19.0102 29.2668 77.0714 18.7553 -123.64  2.7516 18.8995 18.6844 17.3815 16.7564  18.185  12.715
 45.4481  11.177 19.9048 16.4894 20.0403 24.3935 37.7162 24.8909 81.0211 44.5509 24.4842 27.4281 18.7567  43.529 46.5312 17.9603 18.0474 31.3977 80.1837 -29.867 -169.22 3.31626 18.8503 18.7417 17.4314 16.8289  18.299 12.7434
 46.6953  11.614 18.8969 17.6539 20.2856 26.3961 38.9164 29.5648 79.9637 47.0639 25.5839 29.1062 18.5487 45.5727 47.8923  22.932 17.2275 33.7403 83.0143 -76.641 -208.16 3.82157 18.8259 18.7994 17.5034 16.9076 18.3992 12.7715
 47.9688 11.9373 17.5776 19.1155 20.4607 28.2461 39.6967 33.9828 78.0834  49.261 26.0246 30.4618 18.0675 47.9827  49.056 27.7362 16.5995 36.1814 85.3903 -115.56 -233.35  4.1999 18.8257 18.8513 17.6012 16.9863 18.4851 12.7992
 49.2462 12.1429 15.9158 20.8932 20.5373 29.8948 40.0857   37.79 75.5138 51.0424  25.726   31.48 17.2451 50.6194 50.1094 32.2452 16.1822 38.6176 87.1578 -143.16 -240.63 4.41208 18.8474 18.8979 17.7183  17.061 18.5566 12.8265
 50.4699 12.2494 13.9737 22.9141 20.4669  31.251 40.0906 40.7101  72.379 52.2501 24.7614 32.1847 16.1056 53.2171 51.0744 36.3177 15.9897 40.9757 88.2134 -159.89 -230.18 4.49006 18.8962 18.9422 17.8405 17.1285 18.6091 12.8535
 51.5668 12.2847 11.9157 25.0076 20.2014  32.177 39.6818 42.5656 68.7215 52.6947 23.3306 32.6129 14.7722  55.456 51.8784 39.8111 16.0353 43.1962 88.4857 -168.01  -204.8 4.54057 18.9799 18.9836 17.9563  17.186  18.638 12.8801
 52.4672 12.2727 9.97637 26.9456 19.6896 32.5151 38.7813 43.2912 64.4898 52.2141 21.6927 32.8003 13.4139 57.0816  52.373 42.6138 16.3096 45.1858 87.8867 -168.28 -167.41 4.69381 19.0981 19.0164 18.0644 17.2344  18.644 12.9064
 53.1106 12.2178 8.39739 28.5103  18.861 32.1426 37.2831 42.9477 59.6196 50.7477 20.1042 32.7802  12.156   57.98 52.4056 44.6833 16.7663    46.8 86.2971  -159.5 -120.48 5.03507 19.2389 19.0338 18.1685 17.2794 18.6329 12.9324
 53.4435 12.0946 7.37292 29.5404 17.6439 31.0217 35.1168 41.7084 54.1345 48.3782 18.7751 32.5863 11.0575  58.203 51.8927 46.0556 17.3286 47.8793 83.6129 -141.32 -67.965 5.56919 19.3893 19.0334 18.2674 17.3278 18.6118  12.958
 53.4503 11.8702 7.01996 29.9329 16.0199 29.2119 32.3098 39.8015 48.1794 45.2828 17.8567 32.2681 10.1615 57.9718 50.8612 46.7971 17.9121 48.3057 79.8234 -116.78   -16.3 6.22652 19.5395 19.0203 18.3517 17.3818 18.5866 12.9833
 53.1874 11.5399 7.36295 29.6506 14.0582 26.8586 28.9904 37.4421 41.9828 41.6383  17.436 31.9053 9.54311 57.6137 49.4518 46.9408 18.4418 48.0267 75.0596 -91.298 27.8439 6.90809 19.6805 19.0039 18.4142 17.4364 18.5619 13.0082
  52.756 11.1227 8.31807  28.757 11.8907 24.1754 25.3336 34.8023 35.8026 37.5758 17.5042 31.5828 9.31005 57.4014 47.8881 46.4862 18.8349 47.0335 69.5639 -69.134 60.6214 7.54068 19.8048 18.9919 18.4599  17.483 18.5415 13.0329
 52.2424 10.6243 9.69516 27.4337 9.65505 21.4139  21.502 32.0149 29.8895 33.1975 17.9512 31.3436  9.5376 57.4219 46.4255 45.4683 18.9959 45.3521 63.6149 -50.991 81.2749 8.10278 19.9103 18.9888 18.5019 17.5175 18.5299 13.0572
 51.6988 10.0221 11.2535 25.9228 7.48447 18.8034 17.6235 29.1601 24.4642 28.5824 18.6411 31.1638 10.2302 57.5959 45.3062 43.9887 18.8606 43.0619 57.4733 -35.249 90.6064 8.63365 20.0026 18.9993  18.548 17.5436 18.5308 13.0812
 51.1691 9.29475 12.7944 24.4308 5.53267 16.4699 13.8073  26.229 19.7002 23.7585 19.4987 30.9541 11.3599 57.7845 44.7319 42.1605 18.4448 40.2878 51.3603 -20.835 90.0033 9.23014 20.0884  19.028 18.5947 17.5674 18.5459 13.1049
 50.7057 8.45735 14.2238 23.0629 3.96536 14.3906  10.164 23.1328 15.7201 18.7052 20.5094 30.5843 12.8963  57.855 44.8482 40.0622 17.8393 37.1471 45.4571 -8.2974 81.6043 9.99722 20.1686 19.0743 18.6341 17.5915 18.5747 13.1283
