FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 72.0081 143.876 -4.6685 36.4928 -38.289 -30.696  22.006 -27.034 82.3175 22.0927 0.32741  95.219  26.643 159.305 75.8994  75.142 15.1175 -60.691 19.9272 -43.817 -8.9311 2.36278 24.0262  20.714 21.0081 20.2363 21.2305 14.7319
  71.442  141.26 -0.5497 32.4708 -22.448 -22.845 45.3481 -10.454 97.1197 34.6948 2.69027 94.0361 32.4052 151.182 90.5357 78.4089 14.2835 -44.259 43.2545 -38.713 -8.5376 1.68536 23.9822 20.6797 20.9789 20.2938 21.2024 14.7343
 70.8329 138.623 3.44667 28.5853 -7.9193 -15.287  66.768 5.10877 111.268 47.0558 4.77771 92.6306 37.6409 143.435 104.205 81.5294 13.5672 -29.002 64.7399 -39.128 -10.123 1.38368 23.9302 20.6553 20.9512 20.3508 21.1823 14.7366
 70.1241 135.862 7.36287 24.8059 5.42237 -7.9412 86.3179 19.7514 124.758 59.2581 6.70222 91.0442 42.6716 136.565 117.016 84.7204 12.8455 -14.946 84.4653 -43.523 -11.003 1.45576 23.8834 20.6382 20.9353 20.3997  21.174 14.7389
 69.1659 132.801 11.2016 21.1265 17.7062 -0.7232 104.084 33.5668 137.477 71.2734 8.47346 89.2581 47.7435 130.847 129.008 88.1148 12.0261 -2.0145 102.547 -48.637 -9.4668 1.83753 23.8373 20.6248 20.9384 20.4366 21.1797 14.7412
 67.8089 129.268 14.9368 17.5586 29.0404 6.43751 120.148 46.6055 149.162 82.9327  10.057 87.2185 52.9525  126.37 140.105 91.7003 11.0414 9.91824  119.09 -53.082 -7.1688 2.42705 23.7848  20.614  20.956 20.4623 21.1988 14.7434
 65.9562 125.128 18.5374 14.1207 39.5109 13.5835 134.583 58.8699 159.443 93.9545 11.4173 84.8543 58.2158 123.096 150.124 95.3069 9.84211 20.9934 134.194 -57.628 -6.8504 3.13555 23.7331 20.6062 20.9744 20.4776 21.2276 14.7456
 63.5607 120.296 21.9822 10.8313  49.191 20.7282  147.46 70.3366 167.924 104.009 12.5157 82.1046 63.3099 120.878  158.83 98.6612  8.4076 31.3495  147.95 -62.707 -8.5805 3.91219 23.6991 20.6003 20.9825  20.483 21.2607 14.7478
 60.5932 114.747 25.2535 7.71039 58.1461 27.8605 158.847 80.9801 174.254 112.779 13.2878 78.9518 67.9428  119.45 165.992 101.471 6.75405 41.1161 160.409 -66.912 -9.6897 4.71734 23.6915 20.5925 20.9805 20.4804 21.2948   14.75
 57.0291 108.516 28.3277 4.78387 66.4378 34.9576 168.809 90.7911 178.189 120.015 13.6438 75.4258 71.8542 118.446 171.437 103.492 4.93349 50.4112 171.569  -68.36 -8.4971 5.49996  23.703 20.5806 20.9742 20.4738 21.3311 14.7521
 52.8679 101.687 31.1795 2.07871 74.1296 41.9949  177.42 99.7862 179.646 125.561 13.4954 71.5712 74.8912 117.492 175.064 104.566 3.02801 59.3452 181.407 -66.988 -6.7024 6.20052 23.7211 20.5676 20.9654 20.4669 21.3706 14.7542
 48.1573 94.3996 33.7969 -0.3902 81.2846 48.9424 184.773 107.997 178.709 129.332 12.7817 67.4256 76.9993 116.284 176.831 104.606 1.14928 68.0292 189.924  -64.47 -7.0973 6.74684 23.7408 20.5602  20.949 20.4624 21.4105 14.7563
 43.0025 86.8434 36.1858 -2.6248 87.9512 55.7588 190.959 115.443 175.572 131.254 11.4853 63.0349 78.1877 114.608  176.71 103.557 -0.5678 76.5797 197.156 -61.757 -9.7972 7.06255 23.7608 20.5623 20.9207 20.4601 21.4451 14.7583
 37.5396 79.2256 38.3588 -4.6331 94.1428 62.3986 196.038 122.122 170.479 131.257 9.62538 58.4725 78.5219  112.33 174.692 101.376 -2.0012 85.1109 203.162 -57.468 -12.162 7.11281 23.7737 20.5707 20.8856 20.4593 21.4698 14.7603
 31.8805 71.7238 40.3193 -6.4145 99.8127 68.8309 200.036 128.026 163.671 129.324 7.22916 53.8502 78.0708 109.399  170.79 98.0428 -3.0824 93.7142 208.014 -49.005 -12.501 6.93822 23.7689 20.5789  20.857 20.4632 21.4845 14.7623
 26.0901 64.4685 42.0541 -7.9577  104.85 75.0589 202.948 133.159 155.378 125.551 4.31945 49.3138  76.824 105.832 165.049 93.5951 -3.8041 102.436 211.796 -35.128 -12.448 6.63019 23.7461 20.5842 20.8455  20.479 21.4915 14.7643
 20.2343 57.5496 43.5363 -9.2458 109.098 81.1248 204.766 137.542 145.838 120.152 0.92162 45.0173  74.708 101.656 157.571   88.15 -4.1956  111.27 214.611 -17.561 -14.635 6.27369 23.7166 20.5895 20.8514 20.5102 21.4923 14.7662
 14.4459 51.0219  44.732 -10.261 112.392 87.0947 205.483 141.198 135.312 113.426 -2.9346 41.0942 71.6643  96.889 148.532 81.8899 -4.3021  120.16 216.547 0.14337   -18.9 5.90653 23.6919 20.5985 20.8693 20.5531 21.4883 14.7681
 8.93163 44.8977 45.6114 -10.983 114.587  93.032 205.089 144.161 124.075 105.718 -7.2213 37.6292  67.655 91.5892 138.163 75.0469 -4.1865  129.02 217.639 15.9921  -22.17 5.52229  23.676 20.6111 20.8969  20.601  21.483   14.77
 3.90973 39.1499 46.1594 -11.396 115.587 98.9725 203.577 146.507 112.403 97.4397 -11.912 34.6451 62.6143 85.9092 126.709 67.9055 -3.9322 137.731 217.846 31.4334 -22.148 5.11296 23.6661 20.6249 20.9348 20.6487 21.4816 14.7719
